               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.021245,            0.012218,            0.006509,             0.91681,             0.91721,             0.92503,              0.6935,            0.019056,           0.0087366,           0.0045276,           0.0079093,           0.0079093,           0.0079093
                  36,            0.021425,            0.012241,            0.006651,             0.91767,             0.89195,             0.91974,             0.68192,            0.020816,            0.008803,           0.0050861,           0.0078478,           0.0078478,           0.0078478
                  37,             0.02137,            0.012279,           0.0069859,             0.90489,             0.89627,             0.91533,             0.68284,            0.020685,           0.0080875,           0.0062263,           0.0077863,           0.0077863,           0.0077863
                  38,            0.020946,            0.012238,           0.0063622,             0.89344,             0.86412,             0.88822,              0.6488,            0.019422,           0.0085817,           0.0099535,           0.0077248,           0.0077248,           0.0077248
                  39,            0.020697,             0.01191,           0.0068858,             0.92467,             0.91573,              0.9188,             0.65774,            0.021559,           0.0083141,           0.0040403,           0.0076634,           0.0076634,           0.0076634
                  40,            0.020353,            0.011837,           0.0062642,             0.90495,             0.93247,             0.93583,             0.66471,            0.021745,           0.0092352,           0.0037454,           0.0076019,           0.0076019,           0.0076019
                  41,            0.020413,            0.011584,           0.0064751,             0.92388,             0.89825,             0.91029,             0.68895,            0.018457,           0.0085546,           0.0054208,           0.0075404,           0.0075404,           0.0075404
                  42,            0.020108,            0.011726,           0.0065814,             0.92414,             0.92149,             0.92435,             0.69384,            0.019062,           0.0079401,           0.0043587,           0.0074789,           0.0074789,           0.0074789
                  43,            0.020074,             0.01158,           0.0058803,             0.91342,             0.89991,             0.90367,             0.66522,            0.019518,            0.007922,           0.0081585,           0.0074174,           0.0074174,           0.0074174
                  44,            0.019962,            0.011805,           0.0061476,             0.93122,             0.91327,             0.91714,             0.66452,            0.020404,           0.0088084,           0.0048268,           0.0073559,           0.0073559,           0.0073559
                  45,            0.019495,            0.011555,           0.0054542,             0.89663,             0.91757,             0.92379,             0.70333,            0.019853,           0.0080034,           0.0051256,           0.0072944,           0.0072944,           0.0072944
                  46,              0.0198,            0.011319,           0.0059205,             0.91862,             0.93624,              0.9216,                0.68,            0.021191,           0.0094313,           0.0037879,           0.0072329,           0.0072329,           0.0072329
                  47,            0.019547,            0.011598,           0.0062277,             0.94086,             0.91772,             0.93289,             0.65964,             0.02171,           0.0096237,           0.0037857,           0.0071714,           0.0071714,           0.0071714
                  48,            0.019665,            0.011352,           0.0055141,             0.91476,             0.91745,             0.91564,             0.70076,             0.01881,           0.0080532,           0.0053017,           0.0071099,           0.0071099,           0.0071099
                  49,            0.019478,            0.011485,           0.0056097,             0.90566,             0.91579,             0.90666,             0.67142,            0.019703,           0.0084874,           0.0063411,           0.0070484,           0.0070484,           0.0070484
                  50,            0.018916,            0.011589,           0.0056518,             0.91506,             0.91929,             0.92316,             0.66372,            0.020677,           0.0088121,           0.0039863,            0.006987,            0.006987,            0.006987
                  51,            0.018823,            0.011321,           0.0051763,             0.91369,             0.93314,             0.92839,             0.67509,            0.020532,           0.0081342,           0.0042865,           0.0069255,           0.0069255,           0.0069255
                  52,            0.018961,            0.011435,           0.0053497,             0.92211,              0.9107,             0.91288,             0.66068,            0.020688,           0.0081788,           0.0062076,            0.006864,            0.006864,            0.006864
                  53,            0.018678,            0.011147,           0.0049514,             0.92813,             0.91576,              0.9237,             0.70221,            0.018967,           0.0087486,           0.0046762,           0.0068025,           0.0068025,           0.0068025
                  54,             0.01873,            0.010912,           0.0046848,             0.91864,             0.92274,             0.91897,             0.70329,             0.01897,           0.0077818,           0.0047623,            0.006741,            0.006741,            0.006741
                  55,            0.018355,            0.011051,            0.004858,             0.93485,             0.92793,              0.9332,              0.7044,            0.019633,           0.0082808,            0.002555,           0.0066795,           0.0066795,           0.0066795
                  56,            0.018456,            0.011086,           0.0048253,             0.92196,             0.93403,             0.93268,             0.68616,            0.020355,           0.0086068,           0.0031841,            0.006618,            0.006618,            0.006618
                  57,            0.018386,            0.011069,           0.0051202,             0.93566,             0.93577,             0.93322,             0.69784,            0.019457,           0.0083011,           0.0029754,           0.0065565,           0.0065565,           0.0065565
                  58,            0.018025,             0.01099,           0.0049997,              0.9054,             0.92794,             0.92885,             0.67471,            0.020183,           0.0083895,           0.0045132,            0.006495,            0.006495,            0.006495
                  59,            0.017966,             0.01097,           0.0049917,             0.93289,             0.91074,             0.91633,             0.67345,            0.019885,           0.0088419,           0.0055238,           0.0064335,           0.0064335,           0.0064335
                  60,            0.017676,            0.010972,           0.0050016,             0.92993,             0.91857,             0.93312,             0.70553,            0.019381,            0.008644,           0.0038107,            0.006372,            0.006372,            0.006372
                  61,            0.017618,            0.010876,           0.0045772,             0.92599,             0.94804,             0.94045,             0.71147,            0.019012,           0.0077923,           0.0024532,           0.0063106,           0.0063106,           0.0063106
                  62,            0.017691,            0.010642,           0.0043686,             0.92717,             0.93825,              0.9352,             0.69377,            0.020543,           0.0089298,           0.0026641,           0.0062491,           0.0062491,           0.0062491
                  63,            0.017642,            0.010955,           0.0046448,             0.93928,             0.92522,             0.93554,             0.71381,            0.018604,           0.0081426,           0.0030078,           0.0061876,           0.0061876,           0.0061876
                  64,            0.017742,            0.010824,           0.0046674,             0.94461,             0.92463,                0.94,             0.72217,            0.018511,           0.0078938,            0.002965,           0.0061261,           0.0061261,           0.0061261
                  65,             0.01721,            0.010745,            0.004584,              0.9121,             0.93593,             0.93371,             0.72324,            0.018494,           0.0084689,           0.0045075,           0.0060646,           0.0060646,           0.0060646
                  66,            0.017175,            0.010674,           0.0043465,             0.91031,             0.92302,              0.9155,             0.70177,            0.018523,           0.0084216,           0.0065696,           0.0060031,           0.0060031,           0.0060031
                  67,            0.016924,             0.01068,           0.0041893,              0.9229,             0.91217,             0.90945,             0.68803,            0.018492,           0.0083515,           0.0064581,           0.0059416,           0.0059416,           0.0059416
                  68,            0.016836,            0.010453,           0.0041799,             0.91065,             0.93919,             0.93946,             0.70146,            0.019798,           0.0077433,           0.0040267,           0.0058801,           0.0058801,           0.0058801
                  69,            0.017079,            0.010734,            0.004396,              0.9153,             0.92245,              0.9258,             0.71199,            0.018876,           0.0084987,            0.004793,           0.0058186,           0.0058186,           0.0058186
                  70,            0.016766,            0.010507,           0.0041401,             0.89392,             0.92716,             0.92119,             0.68104,            0.020273,           0.0083655,           0.0058123,           0.0057571,           0.0057571,           0.0057571
                  71,            0.016901,            0.010454,           0.0043125,             0.92817,             0.94526,             0.94038,             0.72172,            0.018828,           0.0079848,           0.0035542,           0.0056957,           0.0056957,           0.0056957
                  72,            0.016685,            0.010248,           0.0041929,             0.93032,             0.93039,              0.9324,              0.7078,            0.019125,           0.0082107,           0.0041639,           0.0056342,           0.0056342,           0.0056342
                  73,            0.016464,            0.010249,           0.0035978,             0.93271,             0.95024,             0.94211,             0.71992,            0.018926,           0.0079625,           0.0029237,           0.0055727,           0.0055727,           0.0055727
                  74,            0.016278,             0.01032,            0.004243,             0.93263,             0.94348,              0.9419,             0.70251,            0.019549,           0.0078123,           0.0019753,           0.0055112,           0.0055112,           0.0055112
                  75,            0.016191,            0.010232,            0.004066,             0.93507,             0.93539,             0.93906,             0.70739,             0.01881,           0.0081891,           0.0027754,           0.0054497,           0.0054497,           0.0054497
                  76,            0.016256,            0.010231,           0.0037243,             0.93642,             0.95085,             0.94308,             0.73495,            0.017992,           0.0080363,           0.0018673,           0.0053882,           0.0053882,           0.0053882
                  77,            0.016137,            0.010187,           0.0039182,             0.93251,             0.93439,             0.93942,             0.72341,            0.018975,           0.0079355,           0.0033021,           0.0053267,           0.0053267,           0.0053267
                  78,            0.015773,            0.010186,           0.0038306,             0.93299,             0.93287,             0.93233,              0.7207,            0.018498,           0.0085261,           0.0041843,           0.0052652,           0.0052652,           0.0052652
                  79,            0.015688,            0.010153,           0.0037825,             0.92449,             0.93321,             0.93509,             0.70933,             0.01888,           0.0086908,           0.0038706,           0.0052037,           0.0052037,           0.0052037
                  80,            0.015683,            0.010009,           0.0034855,             0.92507,             0.93205,              0.9357,             0.71004,            0.018566,           0.0081234,            0.004143,           0.0051422,           0.0051422,           0.0051422
                  81,            0.015734,            0.010036,            0.003888,              0.9179,             0.94352,             0.93297,             0.71314,            0.018602,           0.0084682,           0.0037511,           0.0050807,           0.0050807,           0.0050807
                  82,            0.015623,            0.010174,           0.0036416,             0.93328,             0.92613,             0.93258,             0.70268,            0.019539,           0.0087369,           0.0035148,           0.0050193,           0.0050193,           0.0050193
                  83,            0.015615,            0.010017,           0.0034924,              0.9382,             0.93511,             0.93989,             0.72888,            0.018438,           0.0084678,           0.0030988,           0.0049578,           0.0049578,           0.0049578
                  84,            0.015494,            0.010066,           0.0034314,             0.92719,             0.94561,             0.94111,              0.7305,            0.018067,           0.0082786,           0.0028579,           0.0048963,           0.0048963,           0.0048963
                  85,            0.015336,           0.0097889,           0.0039166,              0.9285,             0.92143,             0.93351,             0.71269,             0.01845,           0.0085451,           0.0041717,           0.0048348,           0.0048348,           0.0048348
                  86,            0.015373,           0.0098867,           0.0033301,             0.94154,             0.92993,              0.9415,             0.70887,            0.019378,           0.0088493,           0.0026588,           0.0047733,           0.0047733,           0.0047733
                  87,            0.015011,           0.0097991,           0.0035804,               0.941,             0.93376,             0.94307,             0.70647,            0.019063,           0.0089282,           0.0024671,           0.0047118,           0.0047118,           0.0047118
                  88,            0.015045,           0.0099723,            0.003393,             0.93547,             0.92638,              0.9309,             0.70327,            0.018585,           0.0085594,           0.0038806,           0.0046503,           0.0046503,           0.0046503
                  89,            0.014987,           0.0098373,           0.0034001,             0.93505,             0.93004,             0.94252,             0.72167,            0.018643,           0.0086932,           0.0030939,           0.0045888,           0.0045888,           0.0045888
                  90,            0.014777,           0.0095601,           0.0034717,             0.95114,             0.93521,             0.94416,             0.72784,            0.018549,           0.0084288,           0.0018605,           0.0045273,           0.0045273,           0.0045273
                  91,            0.014914,            0.009818,            0.003368,             0.95231,             0.93481,             0.94622,             0.72337,            0.019028,           0.0092154,           0.0021838,           0.0044658,           0.0044658,           0.0044658
                  92,            0.014786,           0.0096697,           0.0033842,             0.93865,             0.93045,             0.94467,             0.72828,            0.018671,           0.0082501,           0.0030393,           0.0044043,           0.0044043,           0.0044043
                  93,            0.014485,           0.0097863,           0.0036779,             0.94173,             0.94829,             0.94337,             0.71974,            0.018472,           0.0086223,            0.002132,           0.0043429,           0.0043429,           0.0043429
                  94,            0.014657,           0.0095956,           0.0034863,             0.94155,             0.93831,             0.94706,             0.72388,            0.019005,           0.0084684,           0.0023998,           0.0042814,           0.0042814,           0.0042814
                  95,            0.014439,           0.0094463,           0.0030856,             0.92379,             0.94736,             0.94459,             0.72588,            0.018296,           0.0089942,           0.0025997,           0.0042199,           0.0042199,           0.0042199
                  96,            0.014482,           0.0095807,            0.002894,             0.94369,             0.93044,             0.94601,             0.72273,             0.01871,           0.0086538,           0.0033686,           0.0041584,           0.0041584,           0.0041584
                  97,            0.014073,           0.0095109,           0.0029632,             0.92545,             0.94125,             0.93613,              0.7159,            0.018515,           0.0089934,           0.0037176,           0.0040969,           0.0040969,           0.0040969
                  98,            0.014122,           0.0095628,           0.0028699,              0.9349,             0.91745,             0.93034,             0.72073,            0.018042,           0.0085021,           0.0047464,           0.0040354,           0.0040354,           0.0040354
                  99,            0.014027,           0.0092999,           0.0027437,              0.9367,             0.91811,             0.93546,              0.7192,            0.017979,           0.0088265,           0.0042518,           0.0039739,           0.0039739,           0.0039739
                 100,            0.013829,           0.0094501,           0.0029835,             0.94691,             0.93279,             0.93835,             0.73535,             0.01742,           0.0085524,           0.0031418,           0.0039124,           0.0039124,           0.0039124
                 101,            0.013914,           0.0092223,           0.0030123,             0.92471,             0.95107,             0.94674,             0.73156,            0.018361,           0.0086352,           0.0024273,           0.0038509,           0.0038509,           0.0038509
                 102,            0.013874,           0.0093123,           0.0030644,              0.9406,             0.93461,             0.94201,             0.72322,             0.01804,            0.008609,           0.0030582,           0.0037894,           0.0037894,           0.0037894
                 103,            0.013812,           0.0091682,           0.0028963,             0.96066,             0.94402,             0.95333,             0.74587,            0.017411,           0.0079813,           0.0018083,            0.003728,            0.003728,            0.003728
                 104,            0.013678,           0.0093586,           0.0028941,             0.93485,             0.94742,             0.94604,             0.73474,             0.01801,           0.0086902,           0.0025692,           0.0036665,           0.0036665,           0.0036665
                 105,            0.013531,           0.0091411,           0.0026488,             0.94335,             0.91876,             0.93459,             0.73517,            0.017677,           0.0081872,           0.0043533,            0.003605,            0.003605,            0.003605
                 106,            0.013497,            0.009046,           0.0028713,             0.94983,             0.94904,             0.94828,             0.73785,            0.017901,           0.0084858,            0.001906,           0.0035435,           0.0035435,           0.0035435
                 107,            0.013343,           0.0091347,            0.002879,             0.95657,             0.94002,             0.94988,             0.72596,            0.018741,           0.0085185,           0.0021399,            0.003482,            0.003482,            0.003482
                 108,            0.013234,           0.0090551,           0.0027316,             0.94377,             0.94252,             0.94507,             0.71775,            0.018852,           0.0086812,           0.0024323,           0.0034205,           0.0034205,           0.0034205
                 109,            0.013189,           0.0091374,           0.0027447,             0.92433,             0.94267,             0.94161,             0.72961,            0.018011,           0.0084803,           0.0031492,            0.003359,            0.003359,            0.003359
